"","Compound","Catalog.No.","Rack.Number","M.w.","CAS.Number","Form","Targets..as.supplied.","Target.class..11Mar15.","Molecule.Type","Target.Species","Target.Type","Information","Smiles","Max.Solubility.in.DMSO","URL","Pathway","Plate","Position","Screen","phenotypic_Marker","NA","Elapsed","0","2","4","6","8","10","12","14","16","18","20","22","24","26","28","30","32","34","36","38","40","42","44","46","phenotypic_Marker","NA","Elapsed","0","2","4","6","8","10","12","14","16","18","20","22","24","26","28","30","32","34","36","38","40","42","44","46"
"13","Masitinib (AB1010)","S1064","L1700-01",498.64,"790299-79-5","free base","PDGFR,c-Kit","KIT,LYN,PDGFR","Synthetic small molecule","Mammalian","Kinase","Masitinib is a novel inhibitor for Kit and PDGFRα/β with IC50 of 200 nM and 540 nM/800 nM, weak inhibition to ABL and c-Fms. Phase 2/3.","C1(=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CC=CN=C5)C",200,"http://www.selleckchem.com/products/Masitinib-(AB1010).html","Protein Tyrosine Kinase",1,"a13","C2C12 Diff Tunicamycin","Con",NA,"A13","99.62574","99.69149","99.73245","99.65378","99.46072","99.14841","98.83282","98.68513","98.56735","98.28642","98.05959","98.66095","98.8429","98.8447","99.28864","99.37859","99.87463","99.67072","99.48504","99.71712","99.91813","99.82828","99.90903","99.87489","SG",NA,"A13","105.3502","116.0244","106.2784","100.2451","95.14005","97.46053","97.46053","112.3117","119.7372","128.5551","147.5831","173.5726","198.6339","222.7669","245.5077","273.8177","281.2433","279.3869","270.569","259.8947","248.2923","240.4026","222.3028","216.2696"
"14","Budesonide","S1286","L1700-03",430.53,"51333-22-3","free base","Others","Glucocorticoid Receptor","Synthetic small molecule","Mammalian","Receptor","Budesonide is a glucocorticoid steroid for the treatment of asthma, non-infectious rhinitis.","C1C(C=C2[C@](C=1)([C@]3([C@@](CC2)([C@]4([C@](C[C@H]3O)([C@@]5([C@@H](C4)O[C@](O5)(CCC)[H])C(CO)=O)C)[H])[H])[H])C)=O",199,"http://www.selleckchem.com/products/Budesonide.html","Others",1,"a14","C2C12 Diff Tunicamycin","Con",NA,"A14","99.82655","99.73391","99.76202","99.73847","99.66595","99.50665","99.01711","98.95535","98.83261","98.43314","98.82936","98.01661","97.31853","96.83514","96.78658","96.09823","96.58121","94.51618","94.71823","93.72534","92.70108","92.0899","92.6894","91.369","SG",NA,"A14","122.9859","127.1628","118.3449","108.5989","102.1015","122.5218","136.4447","148.9754","152.6882","160.1137","166.147","165.6829","169.3957","165.2188","164.7547","163.8265","161.506","164.7547","169.8598","182.3904","192.1365","197.7056","209.7722","225.0874"
"15","ZSTK474","S1072","L1700-01",417.41,"475110-96-4","free base","PI3K","PI3K","Synthetic small molecule","Mammalian","Kinase","ZSTK474 inhibits class I PI3Kisoforms with IC50 of 37 nM, mostly PI3Kδ. ","N1=C(N=C(N=C1N2CCOCC2)N3C4=C(N=C3C(F)F)C=CC=C4)N5CCOCC5",50,"http://www.selleckchem.com/products/ZSTK474.html","PI3K/Akt/mTOR",1,"a15","C2C12 Diff Tunicamycin","Con",NA,"A15","99.72859","99.70933","99.64667","99.83795","99.84444","99.96317","99.87779","99.91661","99.9685","99.96912","100","99.97976","100","100","100","100","100","100","100","100","100","100","100","100","SG",NA,"A15","100.7092","113.2399","113.704","114.6321","146.1908","213.9491","286.3483","336.4709","374.991","394.9472","423.2572","451.5671","481.7335","517.469","552.2764","589.4042","633.0294","676.6545","695.2184","729.5617","763.4409","773.651","792.2149","808.4583"
"16","Floxuridine","S1299","L1700-03",246.19,"50-91-9","free base","DNA/RNA Synthesis","DNA/RNA Metabolism","","Mammalian","Nucleic acid metabolism","Floxuridine is a prodrugs of floxuridine and an oncology agent with an GI50 of 5.1 μM for the inhibition of MDCK/PEPT1.","O1[C@@H]([C@H](C[C@H]1N2C=C(C(NC2=O)=O)F)O)CO",199,"http://www.selleckchem.com/products/Floxuridine.html","DNA Damage",1,"a16","C2C12 Diff Tunicamycin","Con",NA,"A16","99.52889","99.70027","99.64274","99.56572","99.19325","98.95687","98.82356","98.71297","99.15664","98.74889","99.18732","98.64921","98.76733","99.2673","99.15485","99.66297","99.79256","99.83228","99.79105","99.74808","99.85231","99.90861","99.87248","99.86743","SG",NA,"A16","90.96317","94.21185","96.53233","94.21185","95.60414","105.8143","110.9194","121.5936","128.091","145.2626","156.8651","188.4237","222.3028","259.8947","278.9228","297.9508","313.266","321.1557","318.3711","317.907","322.5479","322.0839","311.4096","295.6303"
"17","Belinostat (PXD101)","S1085","L1700-01",318.35,"414864-00-9","free base","HDAC","HDAC","Synthetic small molecule","Mammalian","Epigenetic enzyme","Belinostat (PXD101) is a novel HDAC inhibitor with IC50 of 27 nM, with activity demonstrated in cisplatin-resistant tumors. Phase 1/2.","C1(=CC=CC(=C1)/C=C/C(NO)=O)S(NC2=CC=CC=C2)(=O)=O",201,"http://www.selleckchem.com/products/Belinostat.html","Epigenetics",1,"a17","C2C12 Diff Tunicamycin","Con",NA,"A17","99.66671","99.6437","99.75277","99.87835","99.82523","100","100","99.97816","100","100","100","99.96738","99.96268","100","100","100","100","100","100","100","100","100","100","99.94245","SG",NA,"A17","122.5218","121.5936","119.2731","107.2066","132.732","189.3519","241.7949","290.9893","361.0681","434.3955","490.0872","541.138","585.6914","633.9576","668.3008","685.9365","709.1414","722.6002","743.4846","754.1589","767.1536","792.679","813.5634","823.3094"
"18","Costunolide","S1319","L1700-03",232.32,"553-21-9","free base","Telomerase","Farnsyl transferase,Telomerase","Natural product","Mammalian","Signaling-related","Costunolide, a natural sesquiterpene compound with multiple biological activities; inhibits FPTase with IC50 of 20 μM, also inhibits telomerase with IC50 of 65-90 μM.","C1C/C(=C/[C@@H]2[C@@H](CC/C(=C/1)C)C(C(O2)=O)=C)C",202,"http://www.selleckchem.com/products/Costunolide.html","DNA Damage",1,"a18","C2C12 Diff Tunicamycin","Con",NA,"A18","99.72195","99.71774","99.61787","99.61055","99.30032","98.86287","98.90596","98.53959","98.30942","97.8663","98.34286","98.30106","98.18599","98.05965","98.37298","98.73059","98.49745","98.83392","98.5536","98.27033","98.48357","98.14944","98.46422","98.9153","SG",NA,"A18","117.4167","116.9526","107.6707","100.2451","98.38873","99.78102","90.96317","89.10677","93.74775","96.06824","105.3502","125.7705","154.0805","180.534","190.7442","189.816","203.2748","203.2748","211.1645","205.5953","211.6286","219.9823","229.7284","232.9771"
"19","LAQ824 (Dacinostat)","S1095","L1700-01",379.46,"404951-53-7","free base","HDAC","HDAC","Synthetic small molecule","Mammalian","Epigenetic enzyme","LAQ824 (Dacinostat) is a novel HDAC inhibitor with IC50 of 32 nM and is known to activate the p21 promoter.","C1(=CC=C(C=C1)CN(CCO)CCC2=CNC3=C2C=CC=C3)/C=C/C(NO)=O",200,"http://www.selleckchem.com/products/LAQ824(NVP-LAQ824).html","Epigenetics",1,"a19","C2C12 Diff Tunicamycin","Con",NA,"A19","99.77218","99.88001","99.89534","99.8673","99.76487","99.85507","99.95454","99.85915","99.78143","99.97823","99.87904","99.91193","100","100","99.9171","99.9754","100","99.95806","100","100","99.98003","100","99.95377","100","SG",NA,"A19","90.96317","102.5656","99.31693","97.92463","131.3397","223.231","326.7248","413.047","489.6231","539.7457","618.1782","680.8314","749.982","811.2429","850.6912","867.8629","879.0012","893.3882","885.0344","885.4985","912.8803","934.6929","937.4775","944.9031"
"20","Flumazenil","S1332","L1700-03",303.29,"78755-81-4","free base","GABA Receptor","GABA Receptor","","Mammalian","Receptor","Flumazenil is a benzodiazepine antagonist.","C1=C(C=C2C(=C1)N3C(CN(C2=O)C)=C(N=C3)C(=O)OCC)F",16,"http://www.selleckchem.com/products/Flumazenil.html","Neuronal Signaling",1,"a20","C2C12 Diff Tunicamycin","Con",NA,"A20","99.76541","99.84595","99.92124","99.92372","99.83138","99.81072","99.67471","99.63638","99.31455","99.41698","99.23927","99.08059","99.30225","99.25645","99.42412","99.5635","99.40822","99.64142","99.5425","99.56667","99.54644","99.12666","99.2039","99.09055","SG",NA,"A20","92.35545","89.10677","91.42726","93.28365","104.8861","130.4115","166.147","184.2468","194.457","206.9876","232.513","269.1767","281.2433","300.2713","306.7686","302.1277","297.0226","290.5252","284.956","275.21","275.21","267.3203","260.3589","252.4692"
"21","GDC-0879","S1104","L1700-01",334.37,"905281-76-7","free base","Raf","RAF","Synthetic small molecule","Mammalian","Kinase","GDC-0879 is a novel, potent, and selective B-Raf inhibitor with IC50 of 0.13 nM with activity against c-Raf as well; no inhibition known to other protein kinases.","C(CN1N=C(C(=C1)C2=CC=C3C(=C2)CCC/3=N/O)C4C=CN=CC=4)O",200,"http://www.selleckchem.com/products/GDC-0879.html","MAPK",1,"a21","C2C12 Diff Tunicamycin","Con",NA,"A21","98.93705","99.45941","99.37216","99.49035","99.55293","99.26744","99.09882","99.10394","99.31822","98.90292","98.70101","98.27212","98.17569","97.93275","97.96128","96.99409","97.30044","97.29374","96.93496","96.877","95.94371","95.34875","94.31241","94.31214","SG",NA,"A21","79.36072","87.71448","79.82481","74.71974","68.22237","59.40451","55.69173","57.54812","58.47632","60.33271","71.00696","83.0735","96.99644","107.6707","110.9194","125.3064","137.3729","143.4062","158.7214","171.2521","169.8598","172.1803","180.0699","171.2521"
"22","Granisetron HCl","S1345","L1700-03",348.87,"107007-99-8","hydrochloride","5-HT Receptor","5-HT Receptor","Synthetic small molecule","Mammalian","Receptor","Granisetron HCl is a serotonin 5-HT3 receptor antagonist","C1(=C2C(=CC=C1)N(N=C2C(=O)NC3CC4CCCC(C3)N4C)C).Cl",10,"http://www.selleckchem.com/products/Granisetron-Hydrochloride.html","Neuronal Signaling",1,"a22","C2C12 Diff Tunicamycin","Con",NA,"A22","99.94391","100","100","100","100","99.97346","99.94286","99.91558","99.9725","99.97755","99.93306","99.93658","99.95365","99.90903","100","99.94334","100","99.96671","99.97424","99.95039","99.84126","99.95702","99.90302","99.91958","SG",NA,"A22","100.7092","100.2451","95.60414","94.67594","100.2451","104.422","120.6654","135.9807","143.8703","155.0087","179.1417","221.8387","273.3536","311.4096","325.3326","341.576","355.963","347.6092","355.0348","349.0015","338.7914","333.6863","346.681","332.7581"
"23","4μ8C","S7272","L1700-21",204.18,"14003-96-4","free base","Others","IRE1","Synthetic small molecule","Mammalian","Signaling-related","4μ8C is a potent and selective IRE1 RNase inhibitor with IC50 of 76 nM.","C1(=CC=C2C(=C1C=O)OC(C=C2C)=O)O",93,"http://www.selleckchem.com/products/4u8c.html","Others",1,"a23","C2C12 Diff Tunicamycin","Con",NA,"A23","99.72147","99.78171","99.69833","99.73398","99.59866","99.71947","99.88097","99.81052","99.82876","99.79981","99.56805","99.78379","99.47833","99.73191","99.33838","99.41575","99.4357","99.26012","99.22434","99.69772","99.66193","99.35965","99.3714","98.99377","SG",NA,"A23","79.36072","83.5376","81.21711","80.28892","78.43253","91.42726","117.8808","138.7652","157.7932","176.3571","200.9543","230.1925","255.2538","279.3869","291.4534","306.7686","313.7301","310.0173","315.5865","320.6916","309.0891","297.9508","294.7021","285.8842"
"24","RG2833 (RGFP109)","S7292","L1700-21",339.43,"1215493-56-3","free base","HDAC","HDAC","Synthetic small molecule","Mammalian","Epigenetic enzyme","RG2833 (RGFP109) is a brain-penetrant HDAC inhibitor with IC50 of 60 nM and 50 nM for HDAC1 and HDAC3, respectively.","C1(=CC=C(C=C1)C(=O)NCCCCCC(NC2=CC=CC=C2N)=O)C",200,"http://www.selleckchem.com/products/rg2833-rgfp109.html","Epigenetics",1,"a24","C2C12 Diff Tunicamycin","Con",NA,"A24","99.26151","99.19125","98.98748","99.27021","99.37326","99.3075","99.24797","99.55853","99.57206","99.52094","99.89555","99.73198","99.62601","99.5128","99.31829","99.19691","97.78701","98.10241","97.89109","98.35563","97.01598","95.96816","95.4961","94.65213","SG",NA,"A24","62.1891","67.75828","72.39925","75.18384","83.0735","112.7758","142.478","159.1855","171.2521","177.7495","202.3466","217.1978","245.5077","284.956","310.9455","313.7301","310.9455","314.1942","323.0121","325.3326","331.8299","322.0839","313.7301","316.9788"
"25","SGX-523","S1112","L1700-02",359.41,"1022150-57-7","free base","c-Met","MET","Synthetic small molecule","Mammalian","Kinase","SGX-523 is a selective Met inhibitor with IC50 of 4 nM, no activity to BRAFV599E, c-Raf, Abl and p38α. Phase 1.","C1=C2C(=CC(=C1)SC3N4C(=NN=3)C=CC(=N4)C5C=NN(C=5)C)C=CC=N2",10,"http://www.selleckchem.com/products/SGX-523.html","Protein Tyrosine Kinase",1,"b1","C2C12 Diff Tunicamycin","Con",NA,"B1","99.92089","99.76824","99.91226","99.76183","99.58809","99.38846","99.36028","99.04094","98.95452","98.9108","98.59139","98.96758","98.65854","98.24408","97.95741","97.51015","97.31576","96.07571","95.82185","95.73807","93.66074","93.3709","91.1789","91.41177","SG",NA,"B1","71.47105","82.1453","77.96842","70.54286","71.93516","96.53233","126.2346","135.9807","136.9088","151.76","176.3571","214.4132","243.1872","273.3536","289.597","296.0944","306.7686","308.625","298.4149","282.1714","270.1049","256.6461","252.4692","241.3308"
"26","Losartan Potassium (DuP 753)","S1359","L1700-04",462.01,"124750-99-8","potassium","RAAS","AT1/2","Synthetic small molecule","Mammalian","Receptor","Losartan is an angiotensin II receptor antagonist, competes with the binding of angiotensin II to AT1 receptors with IC50 of 20 nM.","C1(=CC(=CC=C1C2=C(C=CC=C2)C3NN=NN=3)CN4C(=C(N=C4CCCC)Cl)CO).[K]",199,"http://www.selleckchem.com/products/losartan-potassium.html","Endocrinology &amp; Hormones",1,"b2","C2C12 Diff Tunicamycin","Con",NA,"B2","99.96262","99.95468","99.95337","99.97816","99.84989","99.8809","99.78696","99.84229","99.69039","99.88615","99.89341","99.74606","99.84513","99.88326","99.95634","99.96455","99.9493","100","99.93174","99.91095","99.82793","99.84602","99.94467","99.9296","SG",NA,"B2","84.4658","81.21711","81.68121","74.25565","96.06824","125.3064","159.1855","156.401","151.2959","162.8983","187.0314","209.3081","245.0436","260.3589","286.8124","306.7686","307.2327","309.5532","302.1277","289.597","277.0664","254.7897","244.5795","235.7617"
